Value,Aerosol level,Water,Snow/ice,Cloud shadow,Adjacent to cloud/shadow,Cloud,"Cirrus / Reserved, but not used"
64,Low aerosol,No,No,No,No,No,"Reserved, but not used"
66,Low aerosol,No,No,No,No,Yes,"Reserved, but not used"
68,Low aerosol,No,No,No,Yes,No,"Reserved, but not used"
70,Low aerosol,No,No,No,Yes,Yes,"Reserved, but not used"
72,Low aerosol,No,No,Yes,No,No,"Reserved, but not used"
74,Low aerosol,No,No,Yes,No,Yes,"Reserved, but not used"
76,Low aerosol,No,No,Yes,Yes,No,"Reserved, but not used"
78,Low aerosol,No,No,Yes,Yes,Yes,"Reserved, but not used"
80,Low aerosol,No,Yes,No,No,No,"Reserved, but not used"
84,Low aerosol,No,Yes,No,Yes,No,"Reserved, but not used"
96,Low aerosol,Yes,No,No,No,No,"Reserved, but not used"
100,Low aerosol,Yes,No,No,Yes,No,"Reserved, but not used"
112,Low aerosol,Yes,Yes,No,No,No,"Reserved, but not used"
128,Moderate aerosol,No,No,No,No,No,"Reserved, but not used"
130,Moderate aerosol,No,No,No,No,Yes,"Reserved, but not used"
132,Moderate aerosol,No,No,No,Yes,No,"Reserved, but not used"
134,Moderate aerosol,No,No,No,Yes,Yes,"Reserved, but not used"
136,Moderate aerosol,No,No,Yes,No,No,"Reserved, but not used"
138,Moderate aerosol,No,No,Yes,No,Yes,"Reserved, but not used"
140,Moderate aerosol,No,No,Yes,Yes,No,"Reserved, but not used"
142,Moderate aerosol,No,No,Yes,Yes,Yes,"Reserved, but not used"
144,Moderate aerosol,No,Yes,No,No,No,"Reserved, but not used"
148,Moderate aerosol,No,Yes,No,Yes,No,"Reserved, but not used"
160,Moderate aerosol,Yes,No,No,No,No,"Reserved, but not used"
164,Moderate aerosol,Yes,No,No,Yes,No,"Reserved, but not used"
176,Moderate aerosol,Yes,Yes,No,No,No,"Reserved, but not used"
180,Moderate aerosol,Yes,Yes,No,Yes,No,"Reserved, but not used"
192,High aerosol,No,No,No,No,No,"Reserved, but not used"
194,High aerosol,No,No,No,No,Yes,"Reserved, but not used"
196,High aerosol,No,No,No,Yes,No,"Reserved, but not used"
198,High aerosol,No,No,No,Yes,Yes,"Reserved, but not used"
200,High aerosol,No,No,Yes,No,No,"Reserved, but not used"
202,High aerosol,No,No,Yes,No,Yes,"Reserved, but not used"
204,High aerosol,No,No,Yes,Yes,No,"Reserved, but not used"
206,High aerosol,No,No,Yes,Yes,Yes,"Reserved, but not used"
208,High aerosol,No,Yes,No,No,No,"Reserved, but not used"
212,High aerosol,No,Yes,No,Yes,No,"Reserved, but not used"
224,High aerosol,Yes,No,No,No,No,"Reserved, but not used"
228,High aerosol,Yes,No,No,Yes,No,"Reserved, but not used"
240,High aerosol,Yes,Yes,No,No,No,"Reserved, but not used"
244,High aerosol,Yes,Yes,No,Yes,No,"Reserved, but not used"
